query,Iteration,--base Total Energy (J),index Total Energy (J),compression Total Energy (J),index-and-compression Total Energy (J)
7,11,27.0719,33.7353,33.3042,31.8174
7,12,28.3371,37.6228,30.7891,31.439
7,13,30.0172,32.812,30.3004,36.7216
7,14,29.0969,34.658,33.1821,35.5446
7,15,29.7555,34.6355,30.7988,33.3936
7,16,27.9559,32.9255,28.8276,35.8413
7,17,28.367,36.1308,26.8263,33.4045
7,18,29.2972,31.1806,29.5997,29.6612
7,19,27.8218,34.9022,32.2567,35.7501
7,20,31.7793,34.2718,32.1946,31.0404
7,21,27.5552,31.2133,31.6489,30.9839
7,22,26.928,36.2896,31.521,32.7487
7,23,26.3221,31.4267,30.247,31.7253
7,24,29.2366,33.2909,30.6119,31.6138
7,25,29.4744,37.4014,30.0658,30.5335
7,26,30.706,30.0842,28.9075,30.8048
7,27,30.0062,34.4287,29.9794,29.7201
7,28,28.7452,32.9618,27.9034,34.6411
7,29,29.8801,36.2836,29.2535,36.1364
7,30,29.8689,36.9909,29.3152,31.5018
8,1,27.8677,39.2699,28.083,37.9829
8,2,30.6436,36.6999,27.6106,38.1973
8,3,33.1554,40.8501,31.5013,38.1915
8,4,29.3955,38.7918,27.9621,40.2052
8,5,30.4774,41.8503,26.9703,40.7335
8,6,32.8077,38.1019,27.0783,36.3521
8,7,32.4098,38.0019,27.8408,40.3097
8,8,30.4309,38.5856,30.9174,40.9237
8,9,29.6334,39.1719,32.6377,36.5644
8,10,29.4052,36.4815,29.6025,38.5941
8,11,33.124,40.7961,31.4837,39.0293
8,12,33.5762,40.8169,28.7526,36.8177
8,13,30.4557,40.2765,28.3699,37.0989
8,14,29.8295,41.9806,30.5375,37.3413
8,15,29.1773,43.8129,31.5616,35.3262
8,16,28.5073,40.264,28.223,37.6054
8,17,30.5914,40.5078,28.5389,39.8695
8,18,31.9937,39.5946,30.479,35.9922
8,19,29.0329,38.2739,28.8037,37.2305
8,20,29.068,37.9458,29.9201,41.1546
8,21,32.952,42.5102,29.7051,38.1022
8,22,31.4,39.1385,27.2184,36.7534
8,23,30.0562,39.1721,29.7762,39.2658
8,24,31.8239,39.4854,30.8267,39.255
8,25,30.245,38.6693,29.5574,39.1442
8,26,31.6071,36.771,31.6208,39.425
8,27,28.9938,39.8067,29.598,38.6861
8,28,32.3337,38.5537,29.5638,35.3373
8,29,31.1984,38.6916,29.7455,38.0488
8,30,34.4815,38.1093,28.2867,36.1353
9,1,57.3867,9.57495,58.4589,5.62029
9,2,60.8861,10.809,55.0603,3.83741
9,3,61.9881,8.67277,58.984,4.67329
9,4,58.6424,9.69705,58.7801,4.3124
9,5,59.0411,10.5182,54.8762,3.81826
9,6,62.684,10.893,55.544,4.92402
9,7,59.6878,8.83046,56.8543,4.90339
9,8,61.3618,8.27261,54.1501,3.73128
9,9,60.1362,10.1069,56.964,3.43237
9,10,58.0379,9.40261,57.6542,3.46709
9,11,59.4337,7.22187,57.7059,5.14162
9,12,56.6431,9.02503,55.1225,3.67122
9,13,62.5062,8.24038,54.1744,5.31046
9,14,60.3612,8.55511,56.7199,4.00021
9,15,60.0141,9.63066,56.9402,4.13369
9,16,62.4632,9.02026,55.2457,3.42531
9,17,61.5238,8.85972,60.5692,3.24137
9,18,59.9175,9.34187,56.2524,5.23592
9,19,57.7729,7.95098,56.8834,3.50055
9,20,61.3801,8.03952,58.0397,4.62139
9,21,57.4707,9.88095,54.2618,3.86745
9,22,57.5631,9.27367,57.384,2.78306
9,23,59.9334,9.54327,55.5547,4.09996
9,24,60.483,8.88115,57.7596,4.52897
9,25,61.4481,11.1743,56.8408,5.27359
9,26,58.3913,8.14076,55.759,5.38205
9,27,59.5938,9.6635,56.816,5.13388
9,28,60.587,9.56498,56.4185,3.56894
9,29,63.0153,10.3077,56.311,3.66309
9,30,60.2934,7.75292,57.7604,5.36852
10,1,56.1759,23.7063,57.3377,53.9544
10,2,56.5797,23.4758,58.1184,53.6711
10,3,58.7321,23.4712,58.2895,51.365
10,4,57.7883,22.6283,54.7781,48.826
10,5,58.116,22.5043,56.916,51.4114
10,6,57.2466,23.748,55.8114,52.2627
10,7,58.5502,22.9245,58.2916,54.3525
10,8,58.3778,24.8328,60.1742,50.8781
10,9,59.8925,22.9647,54.3355,53.7001
10,10,58.033,22.2263,55.3358,53.0988
10,11,58.218,21.4381,55.7197,54.403
10,12,61.1985,22.2913,53.1888,53.0048
10,13,57.2896,22.4015,53.4499,51.6779
10,14,58.9667,23.1812,55.7127,54.2713
10,15,58.9677,25.1713,58.1222,53.9946
10,16,58.1502,22.4718,55.8182,51.5602
10,17,59.1445,22.3029,54.7577,54.1304
10,18,54.4955,23.0138,57.5468,53.3785
10,19,57.7976,23.7743,54.5153,54.5566
10,20,55.3966,24.4007,53.6289,53.6728
10,21,56.5028,27.6362,57.1411,52.955
10,22,59.0527,23.792,55.7658,54.6055
10,23,57.9962,23.145,57.3698,53.6567
10,24,53.0623,22.1475,56.8252,54.6533
10,25,58.394,22.4794,56.829,51.2101
10,26,58.0717,21.2308,52.9845,52.8456
10,27,55.7614,22.3217,54.7794,54.0522
10,28,56.2203,23.7867,55.8871,53.715
10,29,59.4818,25.5007,55.9404,49.2489
10,30,59.1338,23.477,56.2436,50.6546
11,1,5.58113,1.42148,4.43769,2.27789
11,2,4.12265,2.73923,6.54814,0.89385
11,3,5.43232,2.71825,4.14757,1.78722
11,4,4.92572,2.44846,4.32391,1.83857
11,5,3.5216,1.79566,4.32599,1.25916
11,6,4.85605,1.96243,-2516.65,1.99192
11,7,4.71421,1.38443,5.72543,0.962246
11,8,5.00961,2.06814,5.80819,1.60091
11,9,4.11171,2.18489,5.50483,0.714193
11,10,4.96501,1.28404,4.33574,0.832045
11,11,5.57262,2.24771,4.05828,0.7533
11,12,4.50241,2.58798,4.42419,1.06899
11,13,4.86938,2.47026,4.32002,0.722891
11,14,4.90636,2.73228,4.28499,1.49308
11,15,4.94373,1.31212,4.81911,2.52534
11,16,4.54258,1.22685,4.44299,1.79481
11,17,3.91522,1.07663,5.2018,2.0316
11,18,4.69181,1.4882,5.10303,1.13216
11,19,4.45868,2.7763,5.30666,2.19996
11,20,3.8036,1.59968,5.05327,1.95149
11,21,3.66155,3.26468,5.67691,0.886509
11,22,5.1335,2.10941,5.17324,1.38063
11,23,5.44759,1.30165,4.76561,0.831407
11,24,4.80258,1.15996,4.65743,0.822213
11,25,3.26568,2.2625,4.35168,1.80893
11,26,3.24485,2.3455,4.63498,1.25899
11,27,6.02349,2.05833,5.64176,0.823565
11,28,3.65597,1.0045,3.46491,1.21609
11,29,4.24022,2.07069,5.27881,0.819483
11,30,3.64706,2.2855,3.94645,1.02952
12,1,56.1143,17.8195,49.0024,14.1141
12,2,54.0721,18.9169,53.4175,12.764
12,3,56.2707,16.609,55.5674,11.5654
12,4,52.924,15.4378,48.6743,12.5131
12,5,56.6151,17.3269,53.3343,13.6509
12,6,57.5258,17.396,49.8836,12.1781
12,7,58.7907,17.7557,55.9509,11.4162
12,8,55.3176,19.1529,52.7705,10.2472
12,9,55.3819,17.5264,54.5292,10.7178
12,10,56.7888,18.5408,53.3108,11.5765
12,11,53.254,17.3203,54.7815,9.9268
12,12,58.3328,19.6563,56.2293,11.239
12,13,55.4088,17.7732,54.0658,11.0714
12,14,56.3004,15.3963,53.6959,11.9866
12,15,56.6757,17.4085,53.8097,10.8877
12,16,53.6328,16.5614,50.2777,9.81622
12,17,60.3718,16.2301,55.9321,12.3375
12,18,55.813,18.4931,51.1045,11.104
