query,Iteration,--base Juliet Java Total Energy (J),--base Total Energy (J),--base Average Energy (J),--base Total Power (W),--base Average Power (W),--base Runtime,--base Read Count,--base Postgres CPU %,--base Postgres Read Count,index Juliet Java Total Energy (J),index Total Energy (J),index Average Energy (J),index Total Power (W),index Average Power (W),index Runtime,index Read Count,index Postgres CPU %,index Postgres Read Count,compression Juliet Java Total Energy (J),compression Total Energy (J),compression Average Energy (J),compression Total Power (W),compression Average Power (W),compression Runtime,compression Read Count,compression Postgres CPU %,compression Postgres Read Count,index-and-compression Juliet Java Total Energy (J),index-and-compression Total Energy (J),index-and-compression Average Energy (J),index-and-compression Total Power (W),index-and-compression Average Power (W),index-and-compression Runtime,index-and-compression Read Count,index-and-compression Postgres CPU %,index-and-compression Postgres Read Count
1,22,27.0683,12.981199999999989,0.2545333333333331,0.6765,0.0132647058823529,24683062089,112.0,64.87,48528.76,25.4995,11.642900000000008,0.2007396551724139,1.5531,0.0267775862068965,20927928025,112.0,0.0,0.0,23.1545,9.309900000000004,0.2270707317073171,0.9172,0.022370731707317,23352534185,112.0,72.04,36895.66,22.4811,11.436699999999991,0.2723023809523808,0.1906,0.0045380952380952,21409536504,112.0,0.0,0.0
1,23,28.1468,12.827100000000014,0.2290553571428573,1.2737,0.0227446428571428,25051436212,112.0,66.85,50060.92,20.4942,12.171299999999992,0.2766204545454544,1.3763,0.0312795454545454,20967515274,112.0,0.0,0.0,26.6272,11.445799999999997,0.2661813953488371,1.0214,0.023753488372093,23397611236,112.0,65.68,35348.81,26.0024,13.1862,0.2273482758620689,1.9642,0.0338655172413793,21240442264,112.0,0.0,0.0
1,24,23.6094,10.154799999999998,0.2030959999999999,0.3445,0.00689,24669461385,112.0,73.47,47609.19,22.243,12.85410000000001,0.2921386363636366,1.6718,0.0379954545454545,20101019301,112.0,0.0,0.0,24.1978,12.096900000000009,0.2749295454545457,1.3687,0.0311068181818181,24937735530,112.0,70.9,35556.72,21.5373,13.877400000000009,0.2952638297872342,0.1365,0.0029042553191489,20661300821,112.0,0.0,0.0
1,25,26.5372,14.554900000000014,0.2425816666666669,1.0387,0.0173116666666666,26230809307,112.0,62.19,47609.39,21.5206,14.310899999999991,0.3328116279069766,0.5599000000000001,0.0130209302325581,20945168835,112.0,0.0,0.0,24.2411,12.904000000000009,0.2805217391304349,0.8185,0.0177934782608695,23532327457,112.0,64.5,35372.6,23.3572,13.30759999999999,0.3024454545454543,1.2126,0.0275590909090909,21606057592,112.0,0.0,0.0
1,26,25.6929,13.192599999999992,0.3068046511627905,0.2856,0.0066418604651162,24904183669,112.0,68.32,46801.86,23.4564,14.232100000000012,0.2790607843137257,0.2793,0.0054764705882352,20110809345,112.0,0.0,0.0,23.8888,11.770499999999991,0.2064999999999998,1.3401,0.0235105263157894,24904419298,112.0,70.0,36921.45,20.4977,12.742099999999992,0.2770021739130433,1.2654999999999998,0.0275108695652173,20120137117,112.0,0.0,0.0
1,27,26.069,12.305600000000007,0.2929904761904763,0.3189,0.0075928571428571,24810150009,112.0,63.88,48545.61,22.5078,12.75849999999999,0.2199741379310343,1.3133,0.0226431034482758,20947803500,112.0,0.0,0.0,24.6998,9.9188,0.2204177777777778,1.156,0.0256888888888888,24981111861,112.0,73.42,37884.52,22.8933,11.58239999999999,0.2068285714285712,1.1313,0.0202017857142857,20091381907,112.0,0.0,0.0
1,28,27.2818,8.226899999999993,0.1958785714285712,0.1489,0.003545238095238,23330087082,112.0,68.91,48928.52,19.3866,12.1749,0.2484673469387755,1.6103,0.0328632653061224,20967682530,112.0,0.0,0.0,21.3731,13.598699999999992,0.2615134615384614,0.2568,0.0049384615384615,25185404675,112.0,70.69,36373.46,19.9576,12.974699999999997,0.2883266666666665,1.6175000000000002,0.0359444444444444,20118837850,112.0,0.0,0.0
1,29,27.99,14.429099999999991,0.2829235294117645,0.5951,0.0116686274509803,26268910331,112.0,72.28,46817.04,20.1532,14.867299999999997,0.2563327586206896,1.6894,0.0291275862068965,19908453591,112.0,0.0,0.0,26.263,10.208399999999996,0.2320090909090908,0.1324,0.0030090909090909,24811289426,112.0,70.95,36796.78,23.8384,10.415700000000008,0.2314600000000002,1.0613,0.0235844444444444,20093157873,112.0,0.0,0.0
1,30,25.4279,13.9914,0.2543890909090909,0.8980999999999999,0.0163290909090909,24766028830,112.0,70.11,46681.43,20.797,13.349499999999995,0.2902065217391303,0.5924,0.0128782608695652,19755477514,112.0,0.0,0.0,24.1257,8.898199999999996,0.1934391304347825,0.8675,0.0188586956521739,25185234204,112.0,71.28,36969.26,23.3491,11.650600000000004,0.2647863636363637,0.3704,0.0084181818181818,20152287097,112.0,0.0,0.0
2,1,15.4716,33.5485,8.387125,30.5489,7.637225,8331558221,112.0,0.0,0.0,15.8198,45.68630000000002,0.846042592592593,4.9487000000000005,0.0916425925925926,9190980007,112.0,44.6,40881.0,18.203,46.09340000000001,0.8864115384615386,5.3662,0.1031961538461538,9516813724,112.0,0.0,0.0,15.2275,34.86399999999998,0.5447499999999997,1.2206,0.019071875,9401830522,112.0,0.0,0.0
2,2,16.5834,33.2681,16.63405,33.2681,16.63405,8077230579,112.0,0.0,0.0,17.8051,32.33220000000001,0.5773607142857144,1.59,0.0283928571428571,9371490667,112.0,48.9,40880.0,15.6633,41.01120000000001,0.7194947368421054,2.7941000000000003,0.049019298245614,9442659744,112.0,0.0,0.0,14.6461,42.34560000000001,0.6721523809523812,3.8923,0.0617825396825396,9486401743,112.0,0.0,0.0
2,3,16.2874,33.7914,8.447849999999999,33.1494,8.28735,8191915193,112.0,0.0,0.0,17.441,33.07249999999999,0.5249603174603173,2.0617,0.0327253968253968,9361983089,112.0,0.0,0.0,15.8099,46.72989999999998,0.7189215384615382,4.97,0.0764615384615384,9797035538,112.0,0.0,0.0,19.5726,34.76040000000001,0.5793400000000002,1.2399,0.020665,9432909150,112.0,0.0,0.0
